gene_symbol	ensembl_id	chrom	tss	strand	biotype	start	end
ZNF382	ENSG00000161298	chr19	36604817	+	protein_coding	36604817	36634114
ZNF529	ENSG00000186020	chr19	36605276	-	protein_coding	36534774	36605276
ZNF461	ENSG00000197808	chr19	36666853	-	protein_coding	36636618	36666853
ZNF567	ENSG00000189042	chr19	36687268	+	protein_coding	36687268	36727701
ZNF850	ENSG00000267041	chr19	36772825	-	protein_coding	36714383	36772825
ZNF345	ENSG00000251247	chr19	36850338	+	protein_coding	36850338	36913029
ZNF790	ENSG00000197863	chr19	36850787	-	protein_coding	36816904	36850787
ZNF829	ENSG00000185869	chr19	36916291	-	protein_coding	36888124	36916291
ZNF568	ENSG00000198453	chr19	36916316	+	protein_coding	36916316	37005037
ZNF420	ENSG00000197050	chr19	37007823	+	protein_coding	37007823	37130368
ZNF585A	ENSG00000196967	chr19	37172741	-	protein_coding	37106734	37172741
ZNF383	ENSG00000188283	chr19	37217926	+	protein_coding	37217926	37248740
ZNF585B	ENSG00000245680	chr19	37218153	-	protein_coding	37181579	37218153
ZNF527	ENSG00000189164	chr19	37371061	+	protein_coding	37371061	37393066
ZNF570	ENSG00000171827	chr19	37467508	+	protein_coding	37467508	37488652
ZNF569	ENSG00000196437	chr19	37469282	-	protein_coding	37410878	37469282
ZNF793	ENSG00000188227	chr19	37506428	+	protein_coding	37506428	37548762
ZNF540	ENSG00000171817	chr19	37551406	+	protein_coding	37551406	37614179
ZNF571	ENSG00000180479	chr19	37595134	-	protein_coding	37554782	37595134
ZNF781	ENSG00000196381	chr19	37676393	-	transcribed_unprocessed_pseudogene	37668579	37676393
ZFP30	ENSG00000120784	chr19	37692337	-	protein_coding	37613749	37692337
ZNF607	ENSG00000198182	chr19	37719775	-	protein_coding	37696363	37719775
ZNF573	ENSG00000189144	chr19	37817300	-	protein_coding	37735833	37817300
DPF1	ENSG00000011332	chr19	38229714	-	protein_coding	38211006	38229714
LEUTX	ENSG00000213921	chr19	39776595	+	protein_coding	39776595	39786291
ZNF546	ENSG00000187187	chr19	39984134	+	protein_coding	39984134	40021038
ZNF780B	ENSG00000128000	chr19	40056231	-	protein_coding	40028260	40056231
ZNF780A	ENSG00000197782	chr19	40091140	-	protein_coding	40069152	40091140
DMRTC2	ENSG00000142025	chr19	41844743	+	protein_coding	41844743	41852333
ZNF574	ENSG00000105732	chr19	42068477	+	protein_coding	42068477	42081552
POU2F2	ENSG00000028277	chr19	42196585	-	protein_coding	42086110	42196585
ZNF526	ENSG00000167625	chr19	42216774	+	protein_coding	42216774	42228201
ERF	ENSG00000105722	chr19	42255131	-	protein_coding	42247569	42255131
CIC	ENSG00000079432	chr19	42268537	+	protein_coding	42268537	42295801
ZNF575	ENSG00000176472	chr19	43525497	+	protein_coding	43525497	43536498
ZNF576	ENSG00000124444	chr19	43596392	+	protein_coding	43596392	43601189
ZNF428	ENSG00000131116	chr19	43619639	-	protein_coding	43607223	43619639
ZNF283	ENSG00000167637	chr19	43827321	+	protein_coding	43827321	43852017
ZNF404	ENSG00000176222	chr19	43901809	-	protein_coding	43872365	43901809
ZNF45	ENSG00000124459	chr19	43935306	-	protein_coding	43910549	43935306
ZNF221	ENSG00000159905	chr19	43951204	+	protein_coding	43951204	43967709
ZNF155	ENSG00000204920	chr19	43967862	+	protein_coding	43967862	43998326
ZNF230	ENSG00000159882	chr19	44002934	+	protein_coding	44002934	44013924
ZNF222	ENSG00000159885	chr19	44025337	+	protein_coding	44025337	44033222
ZNF223	ENSG00000178386	chr19	44051367	+	protein_coding	44051367	44067999
ZNF284	ENSG00000186026	chr19	44072138	+	protein_coding	44072138	44089613
ZNF224	ENSG00000267680	chr19	44094326	+	protein_coding	44094326	44109886
ZNF225	ENSG00000256294	chr19	44112181	+	protein_coding	44112181	44135055
ZNF234	ENSG00000263002	chr19	44141355	+	protein_coding	44141355	44160313
ZNF226	ENSG00000167380	chr19	44165073	+	protein_coding	44165073	44178381
ZNF227	ENSG00000131115	chr19	44207475	+	protein_coding	44207475	44238179
ZNF233	ENSG00000159915	chr19	44259880	+	protein_coding	44259880	44275878
ZNF235	ENSG00000159917	chr19	44305046	-	protein_coding	44228729	44305046
ZNF112	ENSG00000062370	chr19	44367217	-	protein_coding	44326555	44367217
ZNF285	ENSG00000267508	chr19	44401608	-	protein_coding	44382298	44401608
ZNF229	ENSG00000278318	chr19	44448578	-	protein_coding	44417519	44448578
ZNF180	ENSG00000167384	chr19	44500540	-	protein_coding	44470957	44500540
RELB	ENSG00000104856	chr19	45001461	+	protein_coding	45001461	45038192
ZNF296	ENSG00000170684	chr19	45076478	-	protein_coding	45071500	45076478
FOSB	ENSG00000125740	chr19	45467995	+	protein_coding	45467995	45475179
SIX5	ENSG00000177045	chr19	45769252	-	protein_coding	45764785	45769252
FOXA3	ENSG00000170608	chr19	45863989	+	protein_coding	45863989	45873798
MYPOP	ENSG00000176182	chr19	45902808	-	protein_coding	45890020	45902808
HIF3A	ENSG00000124440	chr19	46297042	+	protein_coding	46297042	46343433
ARHGAP35	ENSG00000160007	chr19	46860997	+	protein_coding	46860997	47005077
NPAS1	ENSG00000130751	chr19	47019474	+	protein_coding	47019474	47047242
MEIS3	ENSG00000105419	chr19	47419530	-	protein_coding	47403124	47419530
ZNF541	ENSG00000118156	chr19	47573148	-	protein_coding	47520690	47573148
TPRX1	ENSG00000178928	chr19	47819051	-	protein_coding	47801232	47819051
CRX	ENSG00000105392	chr19	47819779	+	protein_coding	47819779	47843330
ZNF114	ENSG00000178150	chr19	48270041	+	protein_coding	48270041	48287743
DBP	ENSG00000105516	chr19	48637379	-	protein_coding	48630030	48637379
TEAD2	ENSG00000074219	chr19	49362729	-	protein_coding	49340585	49362729
PRR12	ENSG00000126464	chr19	49591182	+	protein_coding	49591182	49626439
IRF3	ENSG00000126456	chr19	49665861	-	protein_coding	49659569	49665861
ATF5	ENSG00000169136	chr19	49923910	+	protein_coding	49923910	49933935
ZNF473	ENSG00000142528	chr19	50025714	+	protein_coding	50025714	50053414
NR1H2	ENSG00000131408	chr19	50329640	+	protein_coding	50329640	50383404
SPIB	ENSG00000269404	chr19	50418938	+	protein_coding	50418938	50431314
ZNF175	ENSG00000105497	chr19	51571283	+	protein_coding	51571283	51592510
ZNF577	ENSG00000161551	chr19	51890950	-	protein_coding	51804816	51890950
ZNF649	ENSG00000198093	chr19	51905049	-	protein_coding	51889233	51905049
ZNF613	ENSG00000176024	chr19	51927147	+	protein_coding	51927147	51948759
ZNF350	ENSG00000256683	chr19	51986856	-	protein_coding	51964061	51986856
ZNF615	ENSG00000197619	chr19	52008230	-	protein_coding	51991332	52008230
ZNF614	ENSG00000142556	chr19	52030240	-	protein_coding	52012765	52030240
ZNF432	ENSG00000256087	chr19	52095738	-	protein_coding	52031378	52095738
ZNF841	ENSG00000197608	chr19	52095765	-	protein_coding	52064465	52095765
ZNF616	ENSG00000204611	chr19	52139965	-	protein_coding	52113073	52139965
ZNF836	ENSG00000196267	chr19	52171643	-	protein_coding	52153864	52171643
ZNF766	ENSG00000196214	chr19	52269587	+	protein_coding	52269587	52296046
ZNF480	ENSG00000198464	chr19	52297167	+	protein_coding	52297167	52325926
ZNF610	ENSG00000167554	chr19	52336243	+	protein_coding	52336243	52367778
ZNF880	ENSG00000221923	chr19	52369917	+	protein_coding	52369917	52393738
ZNF528	ENSG00000167555	chr19	52397849	+	protein_coding	52397849	52418412
ZNF534	ENSG00000198633	chr19	52429148	+	protein_coding	52429148	52452315
ZNF578	ENSG00000258405	chr19	52453553	+	protein_coding	52453553	52516882
ZNF808	ENSG00000198482	chr19	52527652	+	protein_coding	52527652	52564464
ZNF701	ENSG00000167562	chr19	52555822	+	protein_coding	52555822	52599928
ZNF83	ENSG00000167766	chr19	52638388	-	protein_coding	52612356	52638388
ZNF611	ENSG00000213020	chr19	52735080	-	protein_coding	52702813	52735080
ZNF600	ENSG00000189190	chr19	52786820	-	protein_coding	52749942	52786820
ZNF28	ENSG00000198538	chr19	52857600	-	protein_coding	52797408	52857600
ZNF468	ENSG00000204604	chr19	52857649	-	protein_coding	52838010	52857649
ZNF320	ENSG00000182986	chr19	52897704	-	protein_coding	52860851	52897704
ZNF888	ENSG00000213793	chr19	52923496	-	protein_coding	52904415	52923496
ZNF816	ENSG00000180257	chr19	52962911	-	protein_coding	52949377	52962911
ZNF160	ENSG00000170949	chr19	53103434	-	protein_coding	53064884	53103434
ZNF415	ENSG00000170954	chr19	53133077	-	protein_coding	53107879	53133077
ZNF347	ENSG00000197937	chr19	53159075	-	protein_coding	53124072	53159075
ZNF665	ENSG00000197497	chr19	53193386	-	protein_coding	53159213	53193386
ZNF677	ENSG00000197928	chr19	53254898	-	protein_coding	53235381	53254898
ZNF845	ENSG00000213799	chr19	53333749	+	protein_coding	53333749	53356906
ZNF525	ENSG00000203326	chr19	53365693	+	protein_coding	53365693	53392217
ZNF765	ENSG00000196417	chr19	53389793	+	protein_coding	53389793	53430413
ZNF761	ENSG00000160336	chr19	53426180	+	protein_coding	53426180	53461862
ZNF813	ENSG00000198346	chr19	53467703	+	protein_coding	53467703	53496255
ZNF331	ENSG00000130844	chr19	53519527	+	protein_coding	53519527	53580271
DPRX	ENSG00000204595	chr19	53600777	+	protein_coding	53600777	53637014
ZNF628	ENSG00000197483	chr19	55476617	+	protein_coding	55476617	55484487
ZNF579	ENSG00000218891	chr19	55580916	-	protein_coding	55576774	55580916
ZNF524	ENSG00000171443	chr19	55599714	+	protein_coding	55599714	55603138
ZNF865	ENSG00000261221	chr19	55605638	+	protein_coding	55605638	55617269
FIZ1	ENSG00000179943	chr19	55606194	-	protein_coding	55591371	55606194
ZNF784	ENSG00000179922	chr19	55624566	-	protein_coding	55620741	55624566
ZNF580	ENSG00000213015	chr19	55635003	+	protein_coding	55635003	55643470
ZNF581	ENSG00000171425	chr19	55635018	+	protein_coding	55635018	55645626
ZNF787	ENSG00000142409	chr19	56121295	-	protein_coding	56087366	56121295
ZNF444	ENSG00000167685	chr19	56132599	+	protein_coding	56132599	56160897
ZSCAN5B	ENSG00000197213	chr19	56197815	-	protein_coding	56189686	56197815
ZSCAN5C	ENSG00000204532	chr19	56202273	+	protein_coding	56202273	56209461
ZSCAN5A	ENSG00000131848	chr19	56368383	-	protein_coding	56219670	56368383
ZNF582	ENSG00000018869	chr19	56393538	-	protein_coding	56375846	56393538
ZNF583	ENSG00000198440	chr19	56397966	+	protein_coding	56397966	56436035
ZNF667	ENSG00000198046	chr19	56478099	-	protein_coding	56438634	56478099
ZNF471	ENSG00000196263	chr19	56507731	+	protein_coding	56507731	56530221
ZFP28	ENSG00000196867	chr19	56538948	+	protein_coding	56538948	56556808
ZNF470	ENSG00000197016	chr19	56567468	+	protein_coding	56567468	56588911
ZNF71	ENSG00000197951	chr19	56595265	+	protein_coding	56595265	56626481
ZNF835	ENSG00000127903	chr19	56671783	-	protein_coding	56661980	56671783
PEG3	ENSG00000198300	chr19	56840728	-	protein_coding	56810077	56840728
ZIM2	ENSG00000269699	chr19	56840731	-	protein_coding	56774547	56840731
ZIM3	ENSG00000141946	chr19	57145202	-	protein_coding	57134096	57145202
DUXA	ENSG00000258873	chr19	57167485	-	protein_coding	57154021	57167485
ZNF264	ENSG00000083844	chr19	57191500	+	protein_coding	57191500	57222846
ZNF805	ENSG00000204524	chr19	57240632	+	protein_coding	57240632	57262728
ZNF460	ENSG00000197714	chr19	57279982	+	protein_coding	57279982	57296357
ZNF543	ENSG00000178229	chr19	57320472	+	protein_coding	57320472	57330770
ZNF304	ENSG00000131845	chr19	57351271	+	protein_coding	57351271	57359898
ZNF547	ENSG00000152433	chr19	57363477	+	protein_coding	57363477	57379565
ZNF548	ENSG00000188785	chr19	57389850	+	protein_coding	57389850	57403498
ZNF17	ENSG00000186272	chr19	57410723	+	protein_coding	57410723	57421934
ZNF749	ENSG00000186230	chr19	57435325	+	protein_coding	57435325	57447101
ZNF772	ENSG00000197128	chr19	57477570	-	protein_coding	57466663	57477570
ZNF419	ENSG00000105136	chr19	57487711	+	protein_coding	57487711	57496098
ZNF773	ENSG00000152439	chr19	57499915	+	protein_coding	57499915	57518404
ZNF549	ENSG00000121406	chr19	57527325	+	protein_coding	57527325	57557542
ZNF550	ENSG00000251369	chr19	57559863	-	protein_coding	57535257	57559863
ZIK1	ENSG00000171649	chr19	57578456	+	protein_coding	57578456	57593890
ZNF416	ENSG00000083817	chr19	57578911	-	protein_coding	57571566	57578911
ZNF530	ENSG00000183647	chr19	57599880	+	protein_coding	57599880	57612722
ZNF134	ENSG00000213762	chr19	57614233	+	protein_coding	57614233	57624724
ZNF211	ENSG00000121417	chr19	57630395	+	protein_coding	57630395	57644044
ZSCAN4	ENSG00000180532	chr19	57668935	+	protein_coding	57668935	57679152
ZNF551	ENSG00000204519	chr19	57681969	+	protein_coding	57681969	57717301
ZNF154	ENSG00000179909	chr19	57709204	-	protein_coding	57696275	57709204
ZNF671	ENSG00000083814	chr19	57727624	-	protein_coding	57719751	57727624
ZNF776	ENSG00000152443	chr19	57746815	+	protein_coding	57746815	57758148
ZNF586	ENSG00000083828	chr19	57769655	+	protein_coding	57769655	57819939
ZNF552	ENSG00000178935	chr19	57814913	-	protein_coding	57803841	57814913
ZNF587B	ENSG00000269343	chr19	57819721	+	protein_coding	57819721	57846238
ZNF587	ENSG00000198466	chr19	57849841	+	protein_coding	57849841	57865117
ZNF814	ENSG00000204514	chr19	57889074	-	protein_coding	57848731	57889074
ZNF417	ENSG00000173480	chr19	57916610	-	protein_coding	57900296	57916610
ZNF418	ENSG00000196724	chr19	57935402	-	protein_coding	57921882	57935402
ZNF256	ENSG00000152454	chr19	57947706	-	protein_coding	57940833	57947706
ZNF606	ENSG00000166704	chr19	58003349	-	protein_coding	57977076	58003349
ZSCAN1	ENSG00000152467	chr19	58034025	+	protein_coding	58034025	58054631
ZNF135	ENSG00000176293	chr19	58059239	+	protein_coding	58059239	58086310
ZSCAN18	ENSG00000121413	chr19	58118427	-	protein_coding	58083834	58118427
ZNF329	ENSG00000181894	chr19	58155110	-	protein_coding	58126248	58155110
ZNF274	ENSG00000171606	chr19	58183029	+	protein_coding	58183029	58213573
ZNF544	ENSG00000198131	chr19	58228594	+	protein_coding	58228594	58277495
ZNF8	ENSG00000278129	chr19	58278955	+	protein_coding	58278955	58302791
ZSCAN22	ENSG00000182318	chr19	58326994	+	protein_coding	58326994	58342343
ZNF497	ENSG00000174586	chr19	58362848	-	protein_coding	58354357	58362848
ZNF837	ENSG00000152475	chr19	58381054	-	protein_coding	58367614	58381054
ZNF584	ENSG00000171574	chr19	58401504	+	protein_coding	58401504	58431736
ZNF132	ENSG00000131849	chr19	58440153	-	protein_coding	58432814	58440153
ZNF324B	ENSG00000249471	chr19	58450369	+	protein_coding	58450369	58459868
ZNF324	ENSG00000083812	chr19	58467056	+	protein_coding	58467056	58475436
ZNF446	ENSG00000083838	chr19	58474017	+	protein_coding	58474017	58481233
ZBTB45	ENSG00000119574	chr19	58538911	-	protein_coding	58513530	58538911
MZF1	ENSG00000099326	chr19	58573597	-	protein_coding	58561915	58573597
MYT1L	ENSG00000186487	chr2	2331664	-	protein_coding	1789113	2331664
SOX11	ENSG00000176887	chr2	5692384	+	protein_coding	5692384	5701385
GRHL1	ENSG00000134317	chr2	9951693	+	protein_coding	9951693	10002277
KLF11	ENSG00000172059	chr2	10042849	+	protein_coding	10042849	10054836
E2F6	ENSG00000169016	chr2	11466177	-	protein_coding	11444375	11466177
MYCN	ENSG00000134323	chr2	15938396	+	protein_coding	15938396	15947022
MSGN1	ENSG00000151379	chr2	17816460	+	protein_coding	17816460	17817798
OSR1	ENSG00000143867	chr2	19359486	-	protein_coding	19351485	19359486
NCOA1	ENSG00000084676	chr2	24490992	+	protein_coding	24490992	24770702
CENPA	ENSG00000115163	chr2	26764289	+	protein_coding	26764289	26801067
PREB	ENSG00000138073	chr2	27134671	-	protein_coding	27130752	27134671
TCF23	ENSG00000163792	chr2	27149004	+	protein_coding	27149004	27156974
ZNF513	ENSG00000163795	chr2	27380790	-	protein_coding	27377235	27380790
ZNF512	ENSG00000243943	chr2	27582969	+	protein_coding	27582969	27623217
FOSL2	ENSG00000075426	chr2	28392448	+	protein_coding	28392448	28417317
CEBPZ	ENSG00000115816	chr2	37231601	-	protein_coding	37201570	37231601
SIX3	ENSG00000138083	chr2	44941702	+	protein_coding	44941702	44946071
SIX2	ENSG00000170577	chr2	45009452	-	protein_coding	45005182	45009452
EPAS1	ENSG00000116016	chr2	46293667	+	protein_coding	46293667	46386697
FOXN2	ENSG00000170802	chr2	48314331	+	protein_coding	48314331	48379295
BCL11A	ENSG00000119866	chr2	60554467	-	protein_coding	60450520	60554467
REL	ENSG00000162924	chr2	60881491	+	protein_coding	60881491	60931612
OTX1	ENSG00000115507	chr2	63050057	+	protein_coding	63050057	63057836
MEIS1	ENSG00000143995	chr2	66433452	+	protein_coding	66433452	66573898
MXD1	ENSG00000059728	chr2	69897688	+	protein_coding	69897688	69942945
FIGLA	ENSG00000183733	chr2	70790643	-	protein_coding	70777310	70790643
VAX2	ENSG00000116035	chr2	70900576	+	protein_coding	70900576	70965373
EMX1	ENSG00000135638	chr2	72916260	+	protein_coding	72916260	72936071
NOTO	ENSG00000214513	chr2	73202574	+	protein_coding	73202574	73212513
EGR4	ENSG00000135625	chr2	73293721	-	protein_coding	73290927	73293721
TET3	ENSG00000187605	chr2	73984910	+	protein_coding	73984910	74108177
LBX2	ENSG00000179528	chr2	74503316	-	protein_coding	74497517	74503316
TLX2	ENSG00000115297	chr2	74513463	+	protein_coding	74513463	74517148
KCMF1	ENSG00000176407	chr2	84970644	+	protein_coding	84970644	85059472
TCF7L1	ENSG00000152284	chr2	85133392	+	protein_coding	85133392	85310388
ATOH8	ENSG00000168874	chr2	85751344	+	protein_coding	85751344	85791383
FOXI3	ENSG00000214336	chr2	88452693	-	protein_coding	88446787	88452693
ZNF2	ENSG00000275111	chr2	95165432	+	protein_coding	95165432	95184317
ZNF514	ENSG00000144026	chr2	95165672	-	protein_coding	95122087	95165672
KCNIP3	ENSG00000115041	chr2	95297327	+	protein_coding	95297327	95386081
ARID5A	ENSG00000196843	chr2	96536717	+	protein_coding	96536717	96552638
NPAS2	ENSG00000170485	chr2	100820091	+	protein_coding	100820091	100996829
RFX8	ENSG00000196460	chr2	101475112	-	protein_coding	101397359	101475112
POU3F3	ENSG00000198914	chr2	104853287	+	protein_coding	104853287	104858574
ZC3H8	ENSG00000144161	chr2	112255151	-	protein_coding	112211529	112255151
PAX8	ENSG00000125618	chr2	113278921	-	protein_coding	113215997	113278921
FOXD4L1	ENSG00000184492	chr2	113498665	+	protein_coding	113498665	113501150
EN1	ENSG00000163064	chr2	118847648	-	protein_coding	118842171	118847648
GLI2	ENSG00000074047	chr2	120735623	+	protein_coding	120735623	120992653
TFCP2L1	ENSG00000115112	chr2	121285202	-	protein_coding	121216587	121285202
ZEB2	ENSG00000169554	chr2	144521057	-	protein_coding	144364364	144521057
NR4A2	ENSG00000153234	chr2	156342348	-	protein_coding	156324432	156342348
BAZ2B	ENSG00000123636	chr2	159617282	-	protein_coding	159315312	159617282
TBR1	ENSG00000136535	chr2	161416297	+	protein_coding	161416297	161425870
CSRNP3	ENSG00000178662	chr2	165469647	+	protein_coding	165469647	165689407
SP5	ENSG00000204335	chr2	170715337	+	protein_coding	170715337	170718078
DLX1	ENSG00000144355	chr2	172084740	+	protein_coding	172084740	172089677
DLX2	ENSG00000115844	chr2	172102900	-	protein_coding	172099438	172102900
SP3	ENSG00000172845	chr2	173965373	-	protein_coding	173880850	173965373
SP9	ENSG00000217236	chr2	174334954	+	protein_coding	174334954	174338500
ATF2	ENSG00000115966	chr2	175168382	-	protein_coding	175072250	175168382
EVX2	ENSG00000174279	chr2	176083962	-	protein_coding	176077472	176083962
HOXD13	ENSG00000128714	chr2	176092721	+	protein_coding	176092721	176095944
HOXD12	ENSG00000170178	chr2	176099795	+	protein_coding	176099795	176102489
HOXD11	ENSG00000128713	chr2	176104216	+	protein_coding	176104216	176109754
HOXD10	ENSG00000128710	chr2	176108790	+	protein_coding	176108790	176119937
HOXD9	ENSG00000128709	chr2	176122719	+	protein_coding	176122719	176124937
HOXD8	ENSG00000175879	chr2	176129694	+	protein_coding	176129694	176132695
HOXD3	ENSG00000128652	chr2	176136545	+	protein_coding	176136545	176174227
HOXD4	ENSG00000170166	chr2	176151550	+	protein_coding	176151550	176153226
HOXD1	ENSG00000128645	chr2	176188667	+	protein_coding	176188667	176190907
NFE2L2	ENSG00000116044	chr2	177392756	-	protein_coding	177218667	177392756
ZNF385B	ENSG00000144331	chr2	179861612	-	protein_coding	179441982	179861612
NEUROD1	ENSG00000162992	chr2	181680827	-	protein_coding	181668295	181680827
ZNF804A	ENSG00000170396	chr2	184598529	+	protein_coding	184598529	184939492
STAT1	ENSG00000115415	chr2	191020960	-	protein_coding	190908460	191020960
STAT4	ENSG00000138378	chr2	191178435	-	protein_coding	191029570	191178435
SATB2	ENSG00000119042	chr2	199471266	-	protein_coding	199269484	199471266
CARF	ENSG00000138380	chr2	202912214	+	protein_coding	202912214	202988263
KLF7	ENSG00000118263	chr2	207173856	-	protein_coding	207074137	207173856
CREB1	ENSG00000118260	chr2	207529737	+	protein_coding	207529737	207605988
IKZF2	ENSG00000030419	chr2	213152427	-	protein_coding	212999691	213152427
ZNF142	ENSG00000115568	chr2	218659655	-	protein_coding	218633329	218659655
FEV	ENSG00000163497	chr2	218985184	-	protein_coding	218981087	218985184
ANKZF1	ENSG00000163516	chr2	219229769	+	protein_coding	219229769	219236679
PAX3	ENSG00000135903	chr2	222298998	-	protein_coding	222199887	222298998
SP140	ENSG00000079263	chr2	230203110	+	protein_coding	230203110	230316577
SP110	ENSG00000135899	chr2	230225729	-	protein_coding	230165186	230225729
SP140L	ENSG00000185404	chr2	230326762	+	protein_coding	230326762	230403735
SP100	ENSG00000067066	chr2	230415942	+	protein_coding	230415942	230545606
TIGD1	ENSG00000221944	chr2	232550557	-	protein_coding	232543883	232550557
GBX2	ENSG00000168505	chr2	236168386	-	protein_coding	236165236	236168386
HES6	ENSG00000144485	chr2	238240662	-	protein_coding	238238267	238240662
TWIST2	ENSG00000233608	chr2	238848032	+	protein_coding	238848032	238910534
MTERF4	ENSG00000122085	chr2	241102332	-	protein_coding	241072169	241102332
THAP4	ENSG00000176946	chr2	241637191	-	protein_coding	241584405	241637191
SOX12	ENSG00000177732	chr20	325552	+	protein_coding	325552	330224
RBCK1	ENSG00000125826	chr20	407498	+	protein_coding	407498	432139
TCF15	ENSG00000125878	chr20	610309	-	protein_coding	604257	610309
SCRT2	ENSG00000215397	chr20	675802	-	protein_coding	661596	675802
ZNF343	ENSG00000088876	chr20	2525028	-	protein_coding	2481817	2525028
EBF4	ENSG00000088881	chr20	2692780	+	protein_coding	2692780	2760108
CENPB	ENSG00000125817	chr20	3786740	-	protein_coding	3783851	3786740
OVOL2	ENSG00000125850	chr20	18059188	-	protein_coding	17956979	18059188
ZNF133	ENSG00000125846	chr20	18288265	+	protein_coding	18288265	18316996
INSM1	ENSG00000173404	chr20	20368104	+	protein_coding	20368104	20370949
NKX2-4	ENSG00000125816	chr20	21397526	-	protein_coding	21395365	21397526
NKX2-2	ENSG00000125820	chr20	21514064	-	protein_coding	21511017	21514064
PAX1	ENSG00000125813	chr20	21705659	+	protein_coding	21705659	21718481
FOXA2	ENSG00000125798	chr20	22585455	-	protein_coding	22580998	22585455
GZF1	ENSG00000125812	chr20	23362000	+	protein_coding	23362000	23373062
VSX1	ENSG00000100987	chr20	25082141	-	protein_coding	25070885	25082141
ZNF337	ENSG00000130684	chr20	25696860	-	protein_coding	25673195	25696860
FOXS1	ENSG00000179772	chr20	31845604	-	protein_coding	31844303	31845604
PLAGL2	ENSG00000126003	chr20	32207743	-	protein_coding	32192504	32207743
E2F1	ENSG00000101412	chr20	33686385	-	protein_coding	33675477	33686385
ZNF341	ENSG00000131061	chr20	33731657	+	protein_coding	33731657	33792269
PHF20	ENSG00000025293	chr20	35771968	+	protein_coding	35771968	35950385
TGIF2	ENSG00000118707	chr20	36571894	+	protein_coding	36571894	36593950
MAFB	ENSG00000204103	chr20	40689236	-	protein_coding	40685848	40689236
ZHX3	ENSG00000174306	chr20	41317731	-	protein_coding	41178448	41317731
L3MBTL1	ENSG00000185513	chr20	43489442	+	protein_coding	43489442	43550954
MYBL2	ENSG00000101057	chr20	43667019	+	protein_coding	43667019	43716495
HNF4A	ENSG00000101076	chr20	44355699	+	protein_coding	44355699	44432845
RBPJL	ENSG00000124232	chr20	45306840	+	protein_coding	45306840	45317824
DNTTIP1	ENSG00000101457	chr20	45791946	+	protein_coding	45791946	45811427
ZNF335	ENSG00000198026	chr20	45972206	-	protein_coding	45948653	45972206
ZNF334	ENSG00000198185	chr20	46513596	-	protein_coding	46499630	46513596
NCOA3	ENSG00000124151	chr20	47501864	+	protein_coding	47501864	47656877
SNAI1	ENSG00000124216	chr20	49982980	+	protein_coding	49982980	49988886
CEBPB	ENSG00000172216	chr20	50190734	+	protein_coding	50190734	50192690
ADNP	ENSG00000101126	chr20	50931437	-	protein_coding	50888916	50931437
NFATC2	ENSG00000101096	chr20	51562831	-	protein_coding	51386957	51562831
SALL4	ENSG00000101115	chr20	51802521	-	protein_coding	51782331	51802521
ZFP64	ENSG00000020256	chr20	52204308	-	protein_coding	52051663	52204308
TSHZ2	ENSG00000182463	chr20	52972358	+	protein_coding	52972358	53495330
ZNF217	ENSG00000171940	chr20	53609907	-	protein_coding	53567071	53609907
TFAP2C	ENSG00000087510	chr20	56629306	+	protein_coding	56629306	56639283
CTCFL	ENSG00000124092	chr20	57525652	-	protein_coding	57495966	57525652
ZNF831	ENSG00000124203	chr20	59123381	+	protein_coding	59123381	59259113
GATA5	ENSG00000130700	chr20	62476040	-	protein_coding	62463481	62476040
TCFL5	ENSG00000101190	chr20	62861825	-	protein_coding	62841005	62861825
BHLHE23	ENSG00000125533	chr20	63007035	-	protein_coding	63005927	63007035
GMEB2	ENSG00000101216	chr20	63628426	-	protein_coding	63587601	63628426
ZGPAT	ENSG00000197114	chr20	63707353	+	protein_coding	63707353	63736150
SLC2A4RG	ENSG00000125520	chr20	63739759	+	protein_coding	63739759	63744050
ZBTB46	ENSG00000130584	chr20	63832455	-	protein_coding	63743668	63832455
ZNF512B	ENSG00000196700	chr20	63969962	-	protein_coding	63956704	63969962
SOX18	ENSG00000203883	chr20	64049639	-	protein_coding	64047582	64049639
MYT1	ENSG00000196132	chr20	64102222	+	protein_coding	64102222	64242253
GABPA	ENSG00000154727	chr21	25734570	+	protein_coding	25734570	25772460
BACH1	ENSG00000156273	chr21	29194071	+	protein_coding	29194071	29630751
OLIG2	ENSG00000205927	chr21	33025327	+	protein_coding	33025327	33029196
OLIG1	ENSG00000184221	chr21	33070141	+	protein_coding	33070141	33072413
SON	ENSG00000159140	chr21	33543038	+	protein_coding	33543038	33577481
RUNX1	ENSG00000159216	chr21	36004667	-	protein_coding	34787801	36004667
SIM2	ENSG00000159263	chr21	36699115	+	protein_coding	36699115	36749917
ERG	ENSG00000157554	chr21	38661780	-	protein_coding	38380027	38661780
ETS2	ENSG00000157557	chr21	38805115	+	protein_coding	38805115	38824956
PRDM15	ENSG00000141956	chr21	41879482	-	protein_coding	41798225	41879482
ZBTB21	ENSG00000173276	chr21	42010387	-	protein_coding	41986831	42010387
PKNOX1	ENSG00000160199	chr21	42974328	+	protein_coding	42974328	43034475
AIRE	ENSG00000160224	chr21	44285838	+	protein_coding	44285838	44298648
GSC2	ENSG00000063515	chr22	19150292	-	protein_coding	19146993	19150292
TBX1	ENSG00000184058	chr22	19756703	+	protein_coding	19756703	19783593
